"","smoc2_normal1","smoc2_normal3","smoc2_normal4","smoc2_fibrosis1","smoc2_fibrosis2","smoc2_fibrosis3","smoc2_fibrosis4"
"ENSMUSG00000000938",1148,1303,1396,1806,1397,1761,1383
"ENSMUSG00000000942",61,63,56,91,62,68,55
"ENSMUSG00000000948",36,19,24,43,60,40,33
"ENSMUSG00000000957",225,229,200,6202,4036,4639,3642
"ENSMUSG00000000958",7032,6670,6568,3657,2972,4000,4184
"ENSMUSG00000000959",1843,2092,2323,2332,1934,2328,1835
"ENSMUSG00000000976",397,414,540,1029,834,827,764
"ENSMUSG00000000982",4,2,9,60,53,63,62
"ENSMUSG00000000983",0,0,0,4,7,16,8
"ENSMUSG00000001014",6,10,6,9,4,3,5
"ENSMUSG00000001016",764,971,855,1860,1325,1540,1324
"ENSMUSG00000001017",1080,1318,1348,2950,2243,2324,2183
"ENSMUSG00000001018",544,669,623,1392,964,1354,1146
"ENSMUSG00000001020",9,3,10,84,63,47,59
"ENSMUSG00000001021",2,0,0,20,13,20,7
"ENSMUSG00000001023",0,0,1,2,3,1,0
"ENSMUSG00000001025",172,228,246,4628,4156,4886,2948
"ENSMUSG00000001027",5,8,6,5,7,10,6
"ENSMUSG00000001029",175,274,207,295,268,320,219
"ENSMUSG00000001034",248,350,223,1390,1178,1028,1020
"ENSMUSG00000001036",705,863,950,1591,1233,1535,1071
"ENSMUSG00000001039",176,276,325,703,545,629,443
"ENSMUSG00000001052",1508,1474,1675,2783,2176,2074,1797
"ENSMUSG00000001053",390,358,429,956,773,797,587
"ENSMUSG00000001054",490,577,513,1423,1115,1226,954
"ENSMUSG00000001056",376,626,629,1277,1106,1343,886
"ENSMUSG00000001062",751,916,987,1186,949,1068,872
"ENSMUSG00000001065",452,648,632,888,678,704,606
"ENSMUSG00000001076",5,11,12,16,10,8,14
"ENSMUSG00000001082",395,447,398,1388,1226,1532,985
"ENSMUSG00000001089",1161,1169,1273,3461,2682,2118,2038
"ENSMUSG00000001095",2015,2016,3058,759,824,1329,872
"ENSMUSG00000001098",386,439,519,1569,1227,1103,1250
"ENSMUSG00000001100",2791,3205,3612,2525,2011,2549,2004
"ENSMUSG00000001103",0,0,0,1,0,1,0
"ENSMUSG00000001105",645,862,866,1341,1036,1142,844
"ENSMUSG00000001119",397,709,307,3634,3512,3323,2758
"ENSMUSG00000001120",492,498,517,1293,1117,1001,842
"ENSMUSG00000001123",201,354,235,2033,1448,1670,1307
"ENSMUSG00000001127",2239,2730,3002,3466,2793,3211,2612
"ENSMUSG00000001128",125,195,157,1829,1401,1261,1595
"ENSMUSG00000001131",29,7,8,7927,4036,3361,2890
"ENSMUSG00000001134",164,262,191,286,246,266,248
"ENSMUSG00000001138",820,868,1018,1279,1021,1085,873
"ENSMUSG00000001143",1081,1210,1175,1419,1205,1197,963
"ENSMUSG00000001150",727,815,989,1637,1171,1153,1171
"ENSMUSG00000001151",937,978,1067,1329,1104,1309,1247
"ENSMUSG00000001155",118,698,183,85,87,320,323
"ENSMUSG00000001156",402,401,415,760,549,765,648
"ENSMUSG00000001157",551,588,646,1048,799,913,719
"ENSMUSG00000001158",628,934,804,1121,895,1175,965
"ENSMUSG00000001166",66,55,83,112,99,170,128
"ENSMUSG00000001168",0,1,3,2,2,1,0
"ENSMUSG00000001173",651,683,680,1334,1056,1270,1146
"ENSMUSG00000001175",4281,5282,5197,12883,10591,10130,8974
"ENSMUSG00000001211",9604,9961,12851,6222,5148,5751,4907
"ENSMUSG00000001225",0,0,0,0,0,1,0
"ENSMUSG00000001227",125,139,113,421,329,362,264
"ENSMUSG00000001228",56,52,51,742,776,805,761
"ENSMUSG00000001229",975,1093,1429,2378,1832,1651,1289
"ENSMUSG00000001240",430,546,381,832,707,1039,677
"ENSMUSG00000001247",417,345,494,1266,1125,981,830
"ENSMUSG00000001248",814,1043,967,3507,2383,3050,2280
"ENSMUSG00000001249",8975,11017,12596,5378,4557,5845,4936
"ENSMUSG00000001260",2,0,0,13,6,8,10
"ENSMUSG00000001270",2966,3659,4115,3127,1731,2173,1492
"ENSMUSG00000001280",1500,1494,1556,3559,2939,2885,2758
"ENSMUSG00000001281",25,50,39,384,284,332,438
"ENSMUSG00000001285",634,890,742,1016,851,968,766
"ENSMUSG00000001288",476,733,739,1685,1255,1482,1015
"ENSMUSG00000001289",2646,4038,3368,4336,3327,4853,3755
"ENSMUSG00000001300",380,444,508,1602,1227,1263,1126
"ENSMUSG00000001305",184,219,224,589,430,409,357
"ENSMUSG00000001313",249,288,229,304,276,374,290
"ENSMUSG00000001323",1550,1792,1932,874,708,963,891
"ENSMUSG00000001333",14,7,9,77,48,47,48
"ENSMUSG00000001334",49,75,98,88,71,111,62
"ENSMUSG00000001348",2117,1611,2209,1407,1241,1632,1490
"ENSMUSG00000001349",26,45,34,206,347,302,65
"ENSMUSG00000001366",1027,958,1251,1045,851,801,809
"ENSMUSG00000001376",578,619,570,1107,985,976,923
"ENSMUSG00000001380",1072,1081,1176,1773,1256,1412,1381
"ENSMUSG00000001383",1167,1848,1593,2596,1810,2540,2381
"ENSMUSG00000001403",100,89,143,334,396,349,308
"ENSMUSG00000001415",1631,2056,2222,2969,2377,2464,2229
"ENSMUSG00000001416",2003,2551,2419,5861,4575,4520,3614
"ENSMUSG00000001418",3527,4475,4608,4874,4050,5308,4262
"ENSMUSG00000001419",1379,1381,1703,2788,2316,2393,2139
"ENSMUSG00000001420",89,89,114,162,166,145,156
"ENSMUSG00000001424",1547,1570,1751,3517,2638,2847,2774
"ENSMUSG00000001435",4971,5479,5796,30951,23887,27070,22932
